Code du departement;Ville;Tranche pour 1000 habitants
01;Ambérieu-en-Bugey;4
01;Ambérieux-en-Dombes;2
01;Ambléon;0
01;Ambronay;2
01;Ambutrix;0
01;Andert-et-Condon;0
01;Anglefort;3
01;Apremont;0
01;Aranc;0
01;Arandas;0
01;Arbent;4
01;Arboys en Bugey;0
01;Arbigny;0
01;Argis;0
01;Armix;0
01;Ars-sur-Formans;2
01;Artemare;3
01;Asnières-sur-Saône;0
01;Attignat;1
01;Bâgé-Dommartin;1
01;Bâgé-le-Châtel;5
01;Balan;3
01;Baneins;0
01;Beaupont;0
01;Beauregard;0
01;Bellignat;4
01;Béligneux;3
01;Valserhône;4
01;Belley;4
01;Belleydoux;0
01;Valromey-sur-Séran;1
01;Bénonces;4
01;Bény;0
01;Béon;0
01;Béréziat;0
01;Bettant;3
01;Bey;0
01;Beynost;2
01;Billiat;4
01;Birieux;0
01;Biziat;0
01;Blyes;0
01;La Boisse;2
01;Boissey;0
01;Bolozon;0
01;Bouligneux;0
01;Bourg-en-Bresse;5
01;Bourg-Saint-Christophe;0
01;Boyeux-Saint-Jérôme;0
01;Boz;0
01;Brégnier-Cordon;0
01;Arvière-en-Valromey;0
01;Brénod;0
01;Brens;4
01;Bressolles;2
01;Brion;0
01;Briord;0
01;Buellas;1
01;La Burbanche;5
01;Ceignes;0
01;Cerdon;2
01;Certines;0
01;Cessy;1
01;Ceyzériat;2
01;Ceyzérieu;2
01;Chalamont;0
01;Chaleins;0
01;Chaley;0
01;Challes-la-Montagne;0
01;Challex;2
01;Champagne-en-Valromey;0
01;Champdor-Corcelles;4
01;Champfromier;2
01;Chanay;0
01;Chaneins;0
01;Chanoz-Châtenay;0
01;La Chapelle-du-Châtelard;0
01;Charix;0
01;Charnoz-sur-Ain;0
01;Château-Gaillard;0
01;Châtenay;0
01;Châtillon-la-Palud;2
01;Châtillon-sur-Chalaronne;4
01;Chavannes-sur-Reyssouze;0
01;Nivigne et Suran;0
01;Chaveyriat;0
01;Chazey-Bons;3
01;Chazey-sur-Ain;0
01;Cheignieu-la-Balme;0
01;Chevillard;0
01;Chevroux;0
01;Chevry;3
01;Chézery-Forens;3
01;Civrieux;0
01;Cize;0
01;Cleyzieu;0
01;Coligny;0
01;Collonges;4
01;Colomieu;0
01;Conand;5
01;Condamine;0
01;Condeissiat;0
01;Confort;0
01;Confrançon;0
01;Contrevoz;0
01;Conzieu;0
01;Corbonod;0
01;Corlier;5
